Endpoint,Family,Lab,Type,USD/min @720p,Price basis,Max frames,Duration options,Quality options,Aspect ratios,Audio?,Start frame?,End frame?,Multi-cut?,Task,Lipsync?,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/kling-video/v3/standard/text-to-video,Kling 3,Kling,text-to-video,5.04,$0.084/s audio-off x 60s; audio-on $7.56/min,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",fixed,"16:9, 9:16, 1:1",Yes — native generation,No (text-only),No,Yes — native multi-shot,generate,No,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/turbo/pro/image-to-video,Kling 3,Kling,image-to-video,8.4,$0.14./s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",1080p (from docs),inherits input image,No,Yes,No,Yes — native multi-shot,generate,Yes — dialogue/lipsync supported,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/turbo/pro/text-to-video,Kling 3,Kling,text-to-video,8.4,$0.14/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",1080p (from docs),"16:9, 9:16, 1:1",No,No (text-only),No,Yes — native multi-shot,generate,Yes — dialogue/lipsync supported,Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/turbo/standard/image-to-video,Kling 3,Kling,image-to-video,6.72,$0.112./s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",720p (from docs),inherits input image,Yes — native generation,Yes,No,Yes — native multi-shot,generate,Yes — dialogue via prompt (native audio),Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/v3/turbo/standard/text-to-video,Kling 3,Kling,text-to-video,6.72,$0.112/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",720p (from docs),"16:9, 9:16, 1:1",Yes — native generation,No (text-only),No,Yes — native multi-shot,generate,Yes — dialogue via prompt (native audio),Native multi-shot (multi_prompt + shot_type) up to 15s with native audio — rare combination. Strong cinematic motion and camera language.,Audio-on roughly doubles cost. No resolution selector on the endpoint; 4K is a separate pricier endpoint.,"Short films and AI dramas with real cut structure, product reveals with per-shot direction, trailers and music videos — multi-shot prompting does coverage a single-take model can't.","Bulk social iteration (2.5T is faster and cheaper), dialogue scenes running past ~3 shots where face drift accumulates, pixel-exact brand frames."
fal-ai/kling-video/ai-avatar/v2/pro,Kling Avatar,Kling,image-to-video,6.9,$0.115/s x 60s,1500,follows input audio (up to 60 s),fixed,inherits input image,Input only (drives lipsync),Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Audio-driven talking avatars up to 60s that handle humans, animals, cartoons and stylized characters equally well.",Pro tier costs 2x Standard for modest gains; body motion below the neck is limited; needs a clean single-speaker audio track.,"Talking-head UGC ads from one photo, podcast-clip visualization, mascot characters (animals/cartoons) that speak, multilingual dubs of a still character.","Full-body performance, scenes needing camera moves or environment change beyond the speaker."
fal-ai/kling-video/ai-avatar/v2/standard,Kling Avatar,Kling,image-to-video,3.37,$0.0562/s x 60s,1500,follows input audio (up to 60 s),fixed,inherits input image,Input only (drives lipsync),Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Audio-driven talking avatars up to 60s that handle humans, animals, cartoons and stylized characters equally well.",Pro tier costs 2x Standard for modest gains; body motion below the neck is limited; needs a clean single-speaker audio track.,"Talking-head UGC ads from one photo, podcast-clip visualization, mascot characters (animals/cartoons) that speak, multilingual dubs of a still character.","Full-body performance, scenes needing camera moves or environment change beyond the speaker."
fal-ai/kling-video/v1/pro/ai-avatar,Kling Avatar,Kling,image-to-video,6.9,$0.115/s x 60s,250,follows input audio (up to 10 s),fixed,inherits input image,Input only (drives lipsync),Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Audio-driven talking avatars up to 60s that handle humans, animals, cartoons and stylized characters equally well.",Pro tier costs 2x Standard for modest gains; body motion below the neck is limited; needs a clean single-speaker audio track.,"Talking-head UGC ads from one photo, podcast-clip visualization, mascot characters (animals/cartoons) that speak, multilingual dubs of a still character.","Full-body performance, scenes needing camera moves or environment change beyond the speaker."
fal-ai/kling-video/v1/standard/ai-avatar,Kling Avatar,Kling,image-to-video,3.37,$0.0562/s x 60s,250,follows input audio (up to 10 s),fixed,inherits input image,Input only (drives lipsync),Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Audio-driven talking avatars up to 60s that handle humans, animals, cartoons and stylized characters equally well.",Pro tier costs 2x Standard for modest gains; body motion below the neck is limited; needs a clean single-speaker audio track.,"Talking-head UGC ads from one photo, podcast-clip visualization, mascot characters (animals/cartoons) that speak, multilingual dubs of a still character.","Full-body performance, scenes needing camera moves or environment change beyond the speaker."
fal-ai/kling-video/lipsync/audio-to-video,Kling Lipsync,Kling,text-to-video,0.84,$0.014/s x 60s,,follows input video/audio length,fixed,fixed,Input only (drives lipsync),No (text-only),No,No — single shot,generate,Yes — dedicated lipsync/avatar model,Cheap ($0.014/input-second) re-dubbing of an existing video with accurate mouth shapes.,Edits an existing clip only — it generates nothing. Billing rounds up to 5s increments.,"Re-dubbing existing clips, localizing spokesperson videos, repairing dialogue takes.","Net-new content — it edits, it doesn't generate."
fal-ai/kling-video/lipsync/text-to-video,Kling Lipsync,Kling,text-to-video,0.84,$0.014/s x 60s,,follows input video length,fixed,fixed,Input only (drives lipsync),No (text-only),No,No — single shot,generate,Yes — dedicated lipsync/avatar model,Cheap ($0.014/input-second) re-dubbing of an existing video with accurate mouth shapes.,Edits an existing clip only — it generates nothing. Billing rounds up to 5s increments.,"Re-dubbing existing clips, localizing spokesperson videos, repairing dialogue takes.","Net-new content — it edits, it doesn't generate."
fal-ai/kling-video/o1/image-to-video,Kling O1,Kling,image-to-video,6.72,$0.112/s x 60s,240,"3, 4, 5, 6, 7, 8, 9, 10 s",fixed,inherits input image,No,Yes,Yes,No — single shot,generate,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o1/reference-to-video,Kling O1,Kling,image-to-video,6.72,$0.112/s x 60s,240,"3, 4, 5, 6, 7, 8, 9, 10 s",fixed,"16:9, 9:16, 1:1",No,Yes (multi-image / reference),No,Partial — keyframe/element chaining,generate,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o1/standard/image-to-video,Kling O1,Kling,image-to-video,5.04,$0.084/s x 60s,240,"3, 4, 5, 6, 7, 8, 9, 10 s",fixed,inherits input image,No,Yes,Yes,No — single shot,generate,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o1/standard/reference-to-video,Kling O1,Kling,image-to-video,5.04,$0.084/s x 60s,240,"3, 4, 5, 6, 7, 8, 9, 10 s",fixed,"16:9, 9:16, 1:1",No,Yes (multi-image / reference),No,Partial — keyframe/element chaining,generate,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o1/standard/video-to-video/edit,Kling O1,Kling,video-to-video,7.56,$0.126/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes (multi-image / reference),No,Partial — keyframe/element chaining,edit/restyle,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o1/standard/video-to-video/reference,Kling O1,Kling,video-to-video,7.56,$0.126/s x 60s,240,"3, 4, 5, 6, 7, 8, 9, 10 s",fixed,"auto, 16:9, 9:16, 1:1",No,Yes (multi-image / reference),No,Partial — keyframe/element chaining,extend,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o1/video-to-video/edit,Kling O1,Kling,video-to-video,10.08,$0.168/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes (multi-image / reference),No,Partial — keyframe/element chaining,edit/restyle,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o1/video-to-video/reference,Kling O1,Kling,video-to-video,10.08,$0.168/s x 60s,240,"3, 4, 5, 6, 7, 8, 9, 10 s",fixed,"auto, 16:9, 9:16, 1:1",No,Yes (multi-image / reference),No,Partial — keyframe/element chaining,extend,No,Purpose-built start-frame → end-frame interpolation with text-guided styling; very reliable transitions.,"Narrow use case — it is an in-betweener, not a general generator. No audio.","Before/after transformations, timelapse morphs, scene-to-scene transitions inside an edit, product state changes (closed → open).",Open-ended generation — anything without a defined end frame.
fal-ai/kling-video/o3/4k/image-to-video,Kling O3,Kling,image-to-video,25.2,$0.42/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s",4k (from docs),inherits input image,Yes — native generation,Yes,Yes,Yes — native multi-shot,generate,Yes — dialogue via prompt (native audio),"Kling's omni line: reference-driven generation and editing — elements, start/end frames, restyle of existing footage — at a lower price than v3, with a 4K variant tuned for stylized/anime looks.","Fine texture (skin pores, fabric, water) renders softer than v3; audio surcharge; photoreal close-ups favor the v3 line.","Restyle and anime-cel treatments of existing footage, reference-heavy composites (elements + start/end frames), stylized trailers and poster-frame concepts at 4K.","Skin/fabric close-ups where fine texture decides the shot (v3 renders it better), from-scratch photoreal hero shots."
